,ListID,TimeCreated,TimeModified,EditSequence,Name,FullName,IsActive,Sublevel,AccountType,AccountNumber,Desc,Balance,TotalBalance,CashFlowClassification,ParentRef,SpecialAccountType,TaxLineInfoRet
0,1F0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Automobile,Automobile,true,0,Expense,60100.0,Automobile,0.0,13960.18,None,,,
1,200000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Fuel,Automobile:Fuel,true,1,Expense,60110.0,Fuel Expense,3303.7,3303.7,None,"{'ListID': '1F0000-933270542', 'FullName': 'Automobile'}",,
2,580000-1071498064,2003-12-15T19:51:04+05:30,2024-12-15T18:28:38+05:30,1734267518,Insurance,Automobile:Insurance,true,1,Expense,60120.0,Business Truck Policies,5700.48,5700.48,None,"{'ListID': '1F0000-933270542', 'FullName': 'Automobile'}",,
3,210000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Repairs and Maintenance,Automobile:Repairs and Maintenance,true,1,Expense,60130.0,,4956.0,4956.0,None,"{'ListID': '1F0000-933270542', 'FullName': 'Automobile'}",,
4,220000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Bad debt,Bad debt,true,0,Expense,60300.0,,0.0,0.0,None,,,
5,230000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Bank Service Charges,Bank Service Charges,true,0,Expense,60600.0,Bank Service Charges,275.0,275.0,None,,,
6,250000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Depreciation Expense,Depreciation Expense,true,0,Expense,60900.0,Depreciation Expense,70140.72,70140.72,None,,,
7,260000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Dues and Subscriptions,Dues and Subscriptions,true,0,Expense,61200.0,Dues and Subscriptions,0.0,0.0,None,,,
8,270000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Union Dues,Union Dues,true,0,Expense,61500.0,Union Dues,0.0,0.0,None,,,
9,290000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Insurance,Insurance,true,0,Expense,62100.0,Insurance,0.0,29118.07,None,,,
10,2A0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Disability Insurance,Insurance:Disability Insurance,true,1,Expense,62110.0,Disability Insurance,1182.06,1182.06,None,"{'ListID': '290000-933270542', 'FullName': 'Insurance'}",,
11,2B0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Liability Insurance,Insurance:Liability Insurance,true,1,Expense,62120.0,Liability Insurance,10978.94,10978.94,None,"{'ListID': '290000-933270542', 'FullName': 'Insurance'}",,
12,2C0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Work Comp,Insurance:Work Comp,true,1,Expense,62130.0,Workman's Compensation,16957.07,16957.07,None,"{'ListID': '290000-933270542', 'FullName': 'Insurance'}",,
13,8000007B-1197781139,2007-12-16T10:28:59+05:30,2024-12-15T18:28:38+05:30,1734267518,Less Employee Portion - Health,Insurance:Less Employee Portion - Health,true,1,Expense,62199.0,,0.0,0.0,None,"{'ListID': '290000-933270542', 'FullName': 'Insurance'}",,
14,2D0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Interest Expense,Interest Expense,true,0,Expense,62400.0,Interest Expense,0.0,6701.13,None,,,
15,2E0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Finance Charge,Interest Expense:Finance Charge,true,1,Expense,62410.0,Finance Charge,0.0,0.0,None,"{'ListID': '2D0000-933270542', 'FullName': 'Interest Expense'}",,
16,2F0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Loan Interest,Interest Expense:Loan Interest,true,1,Expense,62420.0,Loan Interest Expense,6701.13,6701.13,None,"{'ListID': '2D0000-933270542', 'FullName': 'Interest Expense'}",,
17,540002-1071527489,2003-12-16T04:01:29+05:30,2024-12-15T18:28:38+05:30,1734267518,Payroll Expenses,Payroll Expenses,true,0,Expense,62700.0,,0.0,120347.21,None,,PayrollExpenses,
18,80000069-1197715866,2007-12-15T16:21:06+05:30,2024-12-15T18:28:38+05:30,1734267518,Gross Wages,Payroll Expenses:Gross Wages,true,1,Expense,62710.0,,110400.1,110400.1,None,"{'ListID': '540002-1071527489', 'FullName': 'Payroll Expenses'}",,
19,80000070-1197716198,2007-12-15T16:26:38+05:30,2024-12-15T18:28:38+05:30,1734267518,Payroll Taxes,Payroll Expenses:Payroll Taxes,true,1,Expense,62720.0,,8445.61,8445.61,None,"{'ListID': '540002-1071527489', 'FullName': 'Payroll Expenses'}",,
20,8000006D-1197716113,2007-12-15T16:25:13+05:30,2024-12-15T18:28:38+05:30,1734267518,FUTA Expense,Payroll Expenses:FUTA Expense,true,1,Expense,62730.0,,268.0,268.0,None,"{'ListID': '540002-1071527489', 'FullName': 'Payroll Expenses'}",,
