,ListID,TimeCreated,TimeModified,EditSequence,Name,FullName,IsActive,Sublevel,AccountType,AccountNumber,Desc,Balance,TotalBalance,CashFlowClassification,ParentRef,SpecialAccountType,BankNumber
0,800002AA-1483040152,2016-12-30T01:05:52+05:30,2019-08-23T02:22:16+05:30,1483040152,Overhead Expenses,Overhead Expenses,true,0,Expense,6000.0,Overhead Expenses,0.0,7902385.41,None,,,
1,800002AB-1483040198,2016-12-30T01:06:38+05:30,2019-11-09T01:13:44+05:30,1483040198,Sales & Marketing,Overhead Expenses:Sales & Marketing,true,1,Expense,6001.0,,0.0,817989.56,None,"{'ListID': '800002AA-1483040152', 'FullName': 'Overhead Expenses'}",,
2,A60000-1046577276,2003-03-02T09:24:36+05:30,2016-12-30T01:11:03+05:30,1483040463,Business Development,Overhead Expenses:Sales & Marketing:Business Development,true,2,Expense,6002.0,Business Development,0.0,0.0,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
3,800002AC-1483040544,2016-12-30T01:12:24+05:30,2016-12-30T01:12:24+05:30,1483040544,Sales Commissions,Overhead Expenses:Sales & Marketing:Sales Commissions,true,2,Expense,6003.0,Sales Commissions,0.0,74581.04,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
4,AF0000-1046634396,2003-03-03T01:16:36+05:30,2019-05-29T22:59:49+05:30,1483040737,External,Overhead Expenses:Sales & Marketing:Sales Commissions:External,true,3,Expense,6003.01,ExternalCommissions,45576.05,45576.05,None,"{'ListID': '800002AC-1483040544', 'FullName': 'Overhead Expenses:Sales & Marketing:Sales Commissions'}",,
5,80000298-1479401569,2016-11-17T22:22:49+05:30,2019-01-13T00:32:31+05:30,1483040881,Internal,Overhead Expenses:Sales & Marketing:Sales Commissions:Internal,true,3,Expense,6003.02,Internal Commission,29004.99,29004.99,None,"{'ListID': '800002AC-1483040544', 'FullName': 'Overhead Expenses:Sales & Marketing:Sales Commissions'}",,
6,AA0000-1046578072,2003-03-02T09:37:52+05:30,2020-10-10T00:33:38+05:30,1483041033,Sales Travel,Overhead Expenses:Sales & Marketing:Sales Travel,true,2,Expense,6004.0,Sales Travel,223420.21,223420.21,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
7,430000-1024772518,2002-06-23T00:31:58+05:30,2020-10-08T17:39:54+05:30,1520277040,Sales Meals,Overhead Expenses:Sales & Marketing:Sales Meals,true,2,Expense,6005.0,Sales Meals,344234.36,344234.36,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
8,800002CF-1483068497,2016-12-30T08:58:17+05:30,2020-10-10T00:33:38+05:30,1483068497,Sales Meeting Expenses,Overhead Expenses:Sales & Marketing:Sales Meeting Expenses,true,2,Expense,6006.0,Sales Meeting Expenses,10352.94,10352.94,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
9,1700000-1151858327,2006-07-02T22:08:47+05:30,2020-11-10T00:01:06+05:30,1483041277,Sales Technology,Overhead Expenses:Sales & Marketing:Sales Technology,true,2,Expense,6007.0,Sales Technology,9880.88,9880.88,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
10,780000-1035358558,2002-10-23T13:05:58+05:30,2020-11-10T00:01:06+05:30,1483041377,Sales Gifts,Overhead Expenses:Sales & Marketing:Sales Gifts,true,2,Expense,6008.0,Sales Gifts,71562.77,71562.77,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
11,300003-1046579308,2003-03-02T09:58:28+05:30,2020-12-19T02:55:01+05:30,1483041484,Sales Other,Overhead Expenses:Sales & Marketing:Sales Other,true,2,Expense,6009.0,Sales Other,52043.56,52043.56,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
12,800002D0-1483068554,2016-12-30T08:59:14+05:30,2020-12-03T01:50:22+05:30,1483068554,Marketing,Overhead Expenses:Sales & Marketing:Marketing,true,2,Expense,6010.0,Marketing,31913.8,31913.8,None,"{'ListID': '800002AB-1483040198', 'FullName': 'Overhead Expenses:Sales & Marketing'}",,
13,800002AF-1483041861,2016-12-30T01:34:21+05:30,2016-12-30T01:34:21+05:30,1483041861,HC - Resource Acquisition,Overhead Expenses:HC - Resource Acquisition,true,1,Expense,6050.0,HC - Resource Acquisition,0.0,957936.4,None,"{'ListID': '800002AA-1483040152', 'FullName': 'Overhead Expenses'}",,
14,1370000-1116525309,2005-05-19T23:25:09+05:30,2020-03-03T02:42:44+05:30,1483041949,External Recruiting Fees,Overhead Expenses:HC - Resource Acquisition:External Recruiting Fees,true,2,Expense,6051.0,External Recruiting Fees,789322.19,789322.19,None,"{'ListID': '800002AF-1483041861', 'FullName': 'Overhead Expenses:HC - Resource Acquisition'}",,
15,800002D1-1483068634,2016-12-30T09:00:34+05:30,2020-05-03T21:15:29+05:30,1483068634,Internal Recruiting Incentives,Overhead Expenses:HC - Resource Acquisition:Internal Recruiting Incentives,true,2,Expense,6052.0,Internal Recruiting Incentives,67334.0,67334.0,None,"{'ListID': '800002AF-1483041861', 'FullName': 'Overhead Expenses:HC - Resource Acquisition'}",,
16,800002D2-1483068670,2016-12-30T09:01:10+05:30,2020-09-18T02:41:40+05:30,1483068670,HCA Travel,Overhead Expenses:HC - Resource Acquisition:HCA Travel,true,2,Expense,6053.0,HCA Travel,5629.08,5629.08,None,"{'ListID': '800002AF-1483041861', 'FullName': 'Overhead Expenses:HC - Resource Acquisition'}",,
17,8000024F-1379969516,2013-09-24T02:21:56+05:30,2020-09-19T11:13:34+05:30,1520277063,HCA Meals,Overhead Expenses:HC - Resource Acquisition:HCA Meals,true,2,Expense,6054.0,HCA Meals,28626.51,28626.51,None,"{'ListID': '800002AF-1483041861', 'FullName': 'Overhead Expenses:HC - Resource Acquisition'}",,
18,800002D3-1483068722,2016-12-30T09:02:02+05:30,2020-09-18T02:41:40+05:30,1483068722,HCA Meeting Expenses,Overhead Expenses:HC - Resource Acquisition:HCA Meeting Expenses,true,2,Expense,6055.0,HCA Meeting Expenses,4539.54,4539.54,None,"{'ListID': '800002AF-1483041861', 'FullName': 'Overhead Expenses:HC - Resource Acquisition'}",,
19,800002D4-1483068754,2016-12-30T09:02:34+05:30,2020-12-15T05:37:58+05:30,1483068754,HCA Technology,Overhead Expenses:HC - Resource Acquisition:HCA Technology,true,2,Expense,6056.0,HCA Technology,28476.94,28476.94,None,"{'ListID': '800002AF-1483041861', 'FullName': 'Overhead Expenses:HC - Resource Acquisition'}",,
20,800002D5-1483068786,2016-12-30T09:03:06+05:30,2016-12-30T23:27:28+05:30,1483068786,HCA Gifts,Overhead Expenses:HC - Resource Acquisition:HCA Gifts,true,2,Expense,6057.0,HCA Gifts,0.0,0.0,None,"{'ListID': '800002AF-1483041861', 'FullName': 'Overhead Expenses:HC - Resource Acquisition'}",,
21,800002D6-1483068821,2016-12-30T09:03:41+05:30,2020-10-10T00:38:03+05:30,1483068821,HCA Other,Overhead Expenses:HC - Resource Acquisition:HCA Other,true,2,Expense,6058.0,HCA Other,34008.14,34008.14,None,"{'ListID': '800002AF-1483041861', 'FullName': 'Overhead Expenses:HC - Resource Acquisition'}",,
22,20000-1020931349,2002-05-09T13:32:29+05:30,2016-12-30T01:39:34+05:30,1483042174,Administration,Overhead Expenses:Administration,true,1,Expense,6100.0,Administration,0.0,6126459.45,None,"{'ListID': '800002AA-1483040152', 'FullName': 'Overhead Expenses'}",PayrollExpenses,
23,800002B0-1483042876,2016-12-30T01:51:16+05:30,2020-03-27T22:44:07+05:30,1483042876,Administrative Compensation,Overhead Expenses:Administration:Administrative Compensation,true,2,Expense,6110.0,Administrative Compensation,385.0,3270875.07,None,"{'ListID': '20000-1020931349', 'FullName': 'Overhead Expenses:Administration'}",,
24,80000300-1584337210,2020-03-16T11:10:10+05:30,2020-12-16T13:11:23+05:30,1584498167,Accrued Admin. Compensation,Overhead Expenses:Administration:Administrative Compensation:Accrued Admin. Compensation,true,3,Expense,6109.0,Admin Compensation for Salary Accrual,-3931.39,-3931.39,None,"{'ListID': '800002B0-1483042876', 'FullName': 'Overhead Expenses:Administration:Administrative Compensation'}",,
25,800002B1-1483043101,2016-12-30T01:55:01+05:30,2016-12-30T01:55:01+05:30,1483043101,Salaries,Overhead Expenses:Administration:Administrative Compensation:Salaries,true,3,Expense,6120.0,Administrative Salaries,0.0,2834219.31,None,"{'ListID': '800002B0-1483042876', 'FullName': 'Overhead Expenses:Administration:Administrative Compensation'}",,
26,1120000-1098884255,2004-10-27T19:07:35+05:30,2020-12-16T04:40:04+05:30,1519145228,Operations,Overhead Expenses:Administration:Administrative Compensation:Salaries:Operations,true,4,Expense,6121.0,Operations Mgr & Administrative Employee Salaries,1344694.31,1344694.31,None,"{'ListID': '800002B1-1483043101', 'FullName': 'Overhead Expenses:Administration:Administrative Compensation:Salaries'}",,
27,8000026B-1424027100,2015-02-16T00:35:00+05:30,2020-12-11T14:03:28+05:30,1519145253,CEO,Overhead Expenses:Administration:Administrative Compensation:Salaries:CEO,true,4,Expense,6122.0,John Hoff Salary,1348275.0,1348275.0,None,"{'ListID': '800002B1-1483043101', 'FullName': 'Overhead Expenses:Administration:Administrative Compensation:Salaries'}",,
