,ListID,TimeCreated,TimeModified,EditSequence,Name,FullName,IsActive,Sublevel,AccountType,AccountNumber,Desc,Balance,TotalBalance,CashFlowClassification,ParentRef,SpecialAccountType,BankNumber
175,1B30000-1204819483,2008-03-06T21:34:43+05:30,2020-01-31T03:34:04+05:30,1559513619,Cash,Cash,true,0,Bank,1100.0,,0.0,937797.3,NotApplicable,,,
176,320001-1024777079,2002-06-23T01:47:59+05:30,2020-12-20T21:34:44+05:30,1585767547,Bank of America - MAIN,Cash:Bank of America - MAIN,true,1,Bank,1100.01,"Main Checking Account
ACH RTN: 122000661
Incoming Wire RTN: 026009593
SWIFT: BofAUS3N",918373.61,918373.61,NotApplicable,"{'ListID': '1B30000-1204819483', 'FullName': 'Cash'}",,11947 03623
177,1720000-1155620042,2006-08-15T11:04:02+05:30,2020-12-11T14:09:02+05:30,1551572537,Cash Clearing,Cash:Bank of America - MAIN:Cash Clearing,true,2,Bank,1100.09,Cash Clearing,0.0,0.0,NotApplicable,"{'ListID': '320001-1024777079', 'FullName': 'Cash:Bank of America - MAIN'}",,
178,800002E6-1518122227,2018-02-09T02:07:07+05:30,2020-12-10T03:17:37+05:30,1520546520,First Bank Checking,Cash:First Bank Checking,true,1,Bank,1100.04,RTN applies to both incoming ACH and Wire transactions,19423.69,19423.69,NotApplicable,"{'ListID': '1B30000-1204819483', 'FullName': 'Cash'}",,1802391699
179,80000225-1323995983,2011-12-16T06:09:43+05:30,2017-06-01T21:14:34+05:30,1323995983,Intercompany Clearing,Intercompany Clearing,true,0,Bank,1199.0,,0.0,0.0,NotApplicable,,,
180,50000-1020931376,2002-05-09T13:32:56+05:30,2019-10-22T05:47:24+05:30,1204829209,Professional Services Revenue,Professional Services Revenue,true,0,Income,4000.0,Consulting Income,0.0,55834655.5,None,,,
181,590000-1030985967,2002-09-02T22:29:27+05:30,2020-12-12T17:54:23+05:30,1204829289,Employee Consulting Income,Professional Services Revenue:Employee Consulting Income,true,1,Income,4100.0,Employee Consulting Income,40636880.68,40651644.17,None,"{'ListID': '50000-1020931376', 'FullName': 'Professional Services Revenue'}",,
182,8D0001-1045543420,2003-02-18T10:13:40+05:30,2020-12-18T02:54:38+05:30,1204834799,Consulting Income - WIP,Professional Services Revenue:Employee Consulting Income:Consulting Income - WIP,true,2,Income,4200.01,Consulting Income - WIP,14763.49,14763.49,None,"{'ListID': '590000-1030985967', 'FullName': 'Professional Services Revenue:Employee Consulting Income'}",,
183,390000-1020934892,2002-05-09T14:31:32+05:30,2020-12-12T17:54:23+05:30,1204829304,Owner Consulting Income,Professional Services Revenue:Owner Consulting Income,true,1,Income,4110.0,Owner Consulting Fees,15177284.07,15177284.07,None,"{'ListID': '50000-1020931376', 'FullName': 'Professional Services Revenue'}",,Consulting Rev Owners
184,70000-1020931376,2002-05-09T13:32:56+05:30,2019-12-18T00:48:40+05:30,1204829413,Reimbursed Expenses,Professional Services Revenue:Reimbursed Expenses,true,1,Income,4180.0,Reimbursed Expenses,5727.26,5727.26,None,"{'ListID': '50000-1020931376', 'FullName': 'Professional Services Revenue'}",,
185,800001E3-1236024426,2009-03-03T01:37:06+05:30,2013-08-16T23:07:47+05:30,1247342413,Intercompany Revenue,Intercompany Revenue,true,0,Income,4200.0,Revenue From / <To> Epic,449001.47,449001.47,None,,,
186,80000253-1381357281,2013-10-10T03:51:21+05:30,2013-11-12T23:07:37+05:30,1381357281,Returned Check Charges,Returned Check Charges,true,0,Income,4300.0,,0.0,0.0,None,,,
187,380000-1020934790,2002-05-09T14:29:50+05:30,2020-12-12T17:54:23+05:30,1228518531,Subcontractor Income,Subcontractor Income,true,0,Income,4800.0,Subcontractor Income,32537301.42,32522835.73,None,,,Consulting Revs from Subs
188,B50000-1049358087,2003-04-03T13:51:27+05:30,2020-12-18T02:53:46+05:30,1228518531,Subcontractor Income - WIP,Subcontractor Income:Subcontractor Income - WIP,true,1,Income,4800.01,Subcontractor Income - WIP,-14465.69,-14465.69,None,"{'ListID': '380000-1020934790', 'FullName': 'Subcontractor Income'}",,
189,A10000-1046575380,2003-03-02T08:53:00+05:30,2008-03-07T01:51:03+05:30,1204834863,Partnership Income,Partnership Income,true,0,Income,4900.0,Partnership Income,0.0,774336.54,None,,,Partnership Income
190,A20000-1046575431,2003-03-02T08:53:51+05:30,2017-05-10T21:55:50+05:30,1204834872,Commissions,Partnership Income:Commissions,true,1,Income,4900.01,Commissions,236196.54,236196.54,None,"{'ListID': 'A10000-1046575380', 'FullName': 'Partnership Income'}",,Commissions
191,A40000-1046575530,2003-03-02T08:55:30+05:30,2008-03-07T01:51:23+05:30,1204834883,Partner Bonus,Partnership Income:Partner Bonus,true,1,Income,4900.02,Partner Bonus,538140.0,538140.0,None,"{'ListID': 'A10000-1046575380', 'FullName': 'Partnership Income'}",,
192,80000222-1323198425,2011-12-07T00:37:05+05:30,2011-12-07T00:37:05+05:30,1323198425,OpenAir Suspense,OpenAir Suspense,true,0,Income,4999.0,Required for OpenAir Integration,0.0,0.0,None,,,
193,800002C0-1483051851,2016-12-30T04:20:51+05:30,2016-12-30T04:20:51+05:30,1483051851,Other Income,Other Income,true,0,OtherIncome,8100.0,,0.0,923401.88,None,,,
194,180000-1020931376,2002-05-09T13:32:56+05:30,2020-12-11T02:10:07+05:30,1483052033,Investment Income & Gains,Other Income:Investment Income & Gains,true,1,OtherIncome,8100.01,Investment Income & Gains,851206.15,851206.15,None,"{'ListID': '800002C0-1483051851', 'FullName': 'Other Income'}",,
195,800001D9-1223511372,2008-10-09T05:46:12+05:30,2019-03-11T22:37:55+05:30,1483052099,Gain on Sale of Assets,Other Income:Gain on Sale of Assets,true,1,OtherIncome,8100.02,Gain on Sale of Assets,72195.73,72195.73,None,"{'ListID': '800002C0-1483051851', 'FullName': 'Other Income'}",,
196,800002C2-1483052198,2016-12-30T04:26:38+05:30,2016-12-30T04:26:38+05:30,1483052198,Other Miscellaneous Income,Other Income:Other Miscellaneous Income,true,1,OtherIncome,8100.03,Other Miscellaneous Income,0.0,0.0,None,"{'ListID': '800002C0-1483051851', 'FullName': 'Other Income'}",,
197,3A0000-1020934969,2002-05-09T14:32:49+05:30,2020-12-18T02:55:27+05:30,1020934969,Accounts Receivable,Accounts Receivable,true,0,AccountsReceivable,1200.0,,2100530.02,2100530.02,Operating,,AccountsReceivable,
198,8000028D-1452097431,2016-01-06T21:53:51+05:30,2020-12-08T04:22:23+05:30,1452097431,Allowance for Doubtful Accounts,Allowance for Doubtful Accounts,true,0,OtherCurrentAsset,1201.0,,-233485.32,-233485.32,Operating,,,
199,800002ED-1532794275,2018-07-28T21:41:15+05:30,2020-06-15T18:56:49+05:30,1532794275,Unbilled Revenue,Unbilled Revenue,true,0,OtherCurrentAsset,1210.0,,0.0,-395977.49,Operating,,,
200,800001D3-1220732989,2008-09-07T01:59:49+05:30,2020-12-17T03:52:56+05:30,1532794337,Unbilled Revenue-T&M Projects,Unbilled Revenue:Unbilled Revenue-T&M Projects,true,1,OtherCurrentAsset,1210.01,Revenue accrued but not billed,-314630.3,-314630.3,Operating,"{'ListID': '800002ED-1532794275', 'FullName': 'Unbilled Revenue'}",,
201,800002EE-1532794402,2018-07-28T21:43:22+05:30,2020-12-16T15:46:41+05:30,1532794423,Unbilled Revenue-Fixed Fee,Unbilled Revenue:Unbilled Revenue-Fixed Fee,true,1,OtherCurrentAsset,1210.02,,-81347.19,-81347.19,Operating,"{'ListID': '800002ED-1532794275', 'FullName': 'Unbilled Revenue'}",,
202,800002EF-1533230540,2018-08-02T22:52:20+05:30,2018-08-02T22:52:20+05:30,1533230540,Inventory Asset,Inventory Asset,true,0,OtherCurrentAsset,12100.0,Costs of inventory purchased for resale,0.0,0.0,Operating,,InventoryAssets,
203,80000299-1480686497,2016-12-02T19:18:17+05:30,2017-01-05T03:49:42+05:30,1480686497,Unbilled Travel Expenses,Unbilled Travel Expenses,true,0,OtherCurrentAsset,1215.0,Account will hold any billable expenses that are awaiting purchase order in order to invoice. Facilitates matching of these expenses against the revenue from the invoicing,0.0,0.0,Operating,,,
204,160000-1020931376,2002-05-09T13:32:56+05:30,2019-08-17T17:04:18+05:30,1204759316,Employee Advances,Employee Advances,true,0,OtherCurrentAsset,1260.0,Employee Advances,0.0,11242.07,Operating,,,
205,DF0000-1074349990,2004-01-17T20:03:10+05:30,2020-11-21T02:49:34+05:30,1204759361,Gary Aubin,Employee Advances:Gary Aubin,true,1,OtherCurrentAsset,1260.02,Gary Aubin,11242.07,11242.07,Operating,"{'ListID': '160000-1020931376', 'FullName': 'Employee Advances'}",,
206,8000022E-1325528186,2012-01-02T23:46:26+05:30,2020-02-26T13:18:22+05:30,1325528186,Dave Gora,Employee Advances:Dave Gora,true,1,OtherCurrentAsset,1260.1,,0.0,0.0,Operating,"{'ListID': '160000-1020931376', 'FullName': 'Employee Advances'}",,
207,80000293-1469383670,2016-07-24T23:37:50+05:30,2019-09-23T22:38:14+05:30,1469383670,Grafton Harper,Employee Advances:Grafton Harper,true,1,OtherCurrentAsset,1260.14,,0.0,0.0,Operating,"{'ListID': '160000-1020931376', 'FullName': 'Employee Advances'}",,
